Название университета,Страна,Город,Минимальный GPA,Минимальный IELTS,Минимальный SAT,Минимальный AP,Минимальный бюджет ($),Направление,Климат,Уровень проектов,Гранты,Стоимость проживания,Краткое описание
Гарвард,США,Кембридж,3.09,7.0,1100,5,25000,IT,Умеренный,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.68,6.5,1300,4,30000,Медицина,Умеренный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.59,5.5,1200,2,30000,Инженерия,Умеренный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.27,5.5,1500,5,30000,Математика,Тёплый,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.6,6.5,1200,4,30000,Физика,Холодный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.04,6.5,1500,5,5000,Физика,Холодный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.98,6.5,1200,3,5000,Бизнес,Умеренный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.9,7.0,1400,4,20000,IT,Тёплый,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.82,5.5,1100,1,25000,IT,Тёплый,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.08,6.0,1000,3,20000,Математика,Умеренный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
